nf_calories,nf_sodium,nf_dietary_fiber,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_serving_weight_grams,key_ingredient
0.95,0.4,0,0,0,0.04,0.03,0.13,5,Red Wine Vinegar
97.45,0,7.9,7.2,,,,,98,Haricot Beans
10.92,1.65,1.41,0.16,2.06,3.37,4.22,5.36,3.3,Rosemary
216.2,3.76,13.16,14.66,0,0,3.2,24.96,188,Butter Beans
15.16,0.11,0.95,0.96,0,0.14,0.49,1.23,10.6,Pinto Beans
102.06,2015.68,6.39,5.1,37.01,49.61,5.95,22.69,425.25,Tomato Sauce
102.06,2015.68,6.39,5.1,37.01,49.61,5.95,22.69,425.25,Tomato Sauce
122.01,121.66,0,1.3,9,0,2,0,28,Mascarpone
84.99,177.63,0,6.28,3.83,0,14.31,0.69,28.33,Mozzarella
39.12,28.07,0,3.23,2.18,0,7.71,0.69,28.35,Ricotta
8.44,0.35,0.26,0.12,2.52,0.06,0.19,0.52,3.5,Dried Apricots
1.98,201.93,0.28,0.2,0.24,0.62,0.34,0.8,8.6,Capers
